사업장명,소재지전체주소,도로명전체주소,도로명우편번호,자연환경,숙소환경,테마,지역코드,좌표정보(x),좌표정보(y),COL1,COL2,COL3
늘예솔 글램핑,경상남도 거창군 북상면 월성리 941-4번지,경상남도 거창군 북상면 덕유월성로 1384-5,50100,강,글램핑,연인,17,266560.8174,251824.9783,,,
아쿠아마린 글램핑,경기도 포천시 이동면 도평리 333번지,경기도 포천시 이동면 성장로1289번길 204,11110,바다,이지캠핑,키즈,3,232951.7598,505037.0455,,,
부에노스아이레스,경기도 가평군 가평읍 복장리 580-3번지,경기도 가평군 가평읍 상지로 949,12430,호수,카라반,반려동물,3,243993.7805,470994.2511,,,
오페라캠핑장,강원도 홍천군 내촌면 화상대리 산 375-2,강원도 홍천군 내촌면 아홉사리로 104-15,25163,강,글램핑,연인,4,288301.2,478177.0659,,,
사계절 야영장,충청북도 영동군 상촌면 대해리 1083-1,충청북도 영동군 상촌면 물한계곡로 700,29126,바다,이지캠핑,키즈,8,279605.3867,289353.3756,,,
해자연캠핑장,경기도 남양주시 오남읍 팔현리 9-22,경기도 남양주시 오남읍 팔현로175번길 310-60,12038,호수,카라반,반려동물,3,223207.976,466625.5509,,,
글램핑스테이션,충청북도 괴산군 연풍면 갈금리 255-19번지,충청북도 괴산군 연풍면 연풍로 823-9,28014,강,글램핑,연인,8,284846.0725,364899.3762,,,
청포대휴야영장,충청남도 태안군 남면 원청리 512-142,충청남도 태안군 남면 청포대길 63-6,32157,바다,이지캠핑,키즈,7,137490.9173,348948.1219,,,
옥산 호수정원(진달래 관광농원),충청남도 부여군 옥산면 봉산리 171-3,충청남도 부여군 옥산면 봉산로56번길 56,33204,호수,카라반,반려동물,7,175101.2458,299744.5779,,,
휴림,경기도 여주시 산북면 주어리 368-1,경기도 여주시 산북면 주어로 204,12600,산,캠핑,가족,3,237757.029,434952.2865,,,
그라티아 글램핑,경기도 가평군 가평읍 두밀리 216,경기도 가평군 가평읍 태봉두밀로 421-24,12425,강,글램핑,연인,3,239969.8414,479289.572,,,
백운산캠핑장,경상남도 함양군 백전면 백운리 120-2번지,경상남도 함양군 백전면 함양남서로 2755,50026,바다,이지캠핑,키즈,17,257664.6452,232239.8576,,,
도봉야영장,경기도 의정부시 호원동 163,경기도 의정부시 창포원로 81 (호원동),11716,호수,카라반,반려동물,3,204061.3171,465859.3276,,,
에제르파크,인천광역시 남동구 장수동 141-7,인천광역시 남동구 만의골로 155 (장수동),21533,강,글램핑,연인,2,179777.566,439441.1174,,,
와우파크,강원도 강릉시 사천면 사천진리 242-1번지,강원도 강릉시 사천면 공회당길 7-13,25435,호수,카라반,반려동물,4,364764.0382,483679.9006,,,
팜스토리,경상북도 청도군 운문면 봉하리 817번지 (817-1번지),경상북도 청도군 운문면 운북로 443-18,38365,강,글램핑,연인,16,378588.9503,257694.1966,,,
라무 키즈 글램핑,경기도 가평군 북면 도대리 324-10,경기도 가평군 북면 가화로 2372-42,12401,호수,카라반,반려동물,3,241935.7448,494733.9639,,,
솔향기캠핑장,충청남도 태안군 소원면 모항리 442-3,충청남도 태안군 소원면 모항항길 29,32123,강,글램핑,연인,7,123435.2954,364360.9723,,,
충주 커피박물관 관광농원 야영장,충청북도 충주시 살미면 내사리 산 20-2,충청북도 충주시 살미면 월악로 432,27492,바다,이지캠핑,키즈,8,290360.9874,378552.8512,,,
전원일기 오토캠핑장,경상북도 경주시 산내면 대현리 2372,경상북도 경주시 산내면 문복로 578,38187,호수,카라반,반려동물,16,385538.6307,244640.0249,,,
전월산 국민여가캠핑장,세종특별자치시 연기면 세종리 551-25,세종특별자치시 연기면 갈매로 169,30129,산,캠핑,가족,6,224072.8247,331042.5068,,,
트리앤캠프스토리,강원도 양구군 양구읍 군량리 450,강원도 양구군 양구읍 성곡로 849,24514,강,글램핑,연인,4,284383.351,517913.4834,,,
청포대 일등캠핑장,충청남도 태안군 남면 양잠리 1230-3,충청남도 태안군 남면 청포대길 125,32155,바다,이지캠핑,키즈,7,137369.2682,349457.4051,,,
한자루체험농원(휴앤아크),강원도 인제군 기린면 방동리 68-3,강원도 인제군 기린면 방동약수로 68,24656,호수,카라반,반려동물,4,321917.0802,494708.4854,,,
산들내캠핑장,전라북도 정읍시 산외면 정량리 85-1 인문학뇌만들기 문화공간 창,"전라북도 정읍시 산외면 종운로 260, 인문학뇌만들기 문화공간 창",56123,산,캠핑,가족,9,205536.241,234158.0571,,,
솔라캠프,경상북도 안동시 와룡면 가구리 377-1,경상북도 안동시 와룡면 농암로 101-44,36611,바다,이지캠핑,키즈,16,359016.2775,347988.6808,,,
산책,경기도 가평군 북면 화악리 754-6번지,경기도 가평군 북면 화악산로 943-40,12402,호수,카라반,반려동물,3,247473.2718,492800.7052,,,
젤루느린 달팽이,경상북도 문경시 가은읍 완장리 460번지,경상북도 문경시 가은읍 대야로 1290,36993,산,캠핑,가족,16,285716.39,353234.436,,,
아이뜰관광농원,충청북도 괴산군 장연면 방곡리 607-4번지 아이뜰관광농원,"충청북도 괴산군 장연면 충민로 1183, 아이뜰관광농원",28008,강,글램핑,연인,8,280406.4517,371899.7125,,,
